"id_talhao","regiao_produtora","cultivar","manejo","irrigacao","altitude_m","declividade_pct","idade_lavoura_anos","densidade_plantio","adubacao_n_kg_ha","precipitacao_safra_mm","umidade_relativa_pct","ph_solo","materia_organica_pct","n_armadilhas","dias_exposicao","n_brocas_capturadas","severidade_ferrugem","padrao_exportacao"
"TAL190","Sul de Minas","Icatu","Convencional","Sim",1068,17.4,7.6,4282,251,1379,66.9,5.56,2.27,4,20,1,0.0536,1
"TAL191","Cerrado Mineiro","Catuai","Convencional","Nao",983,20.3,1.4,5092,432,1454,69.9,5.4,1.92,7,15,4,0.1475,1
"TAL192","Cerrado Mineiro","Icatu","Convencional","Nao",700,20.9,5.4,3400,431,1496,75.3,5.02,3.4,10,15,6,0.2147,0
"TAL193","Mogiana","Bourbon","Organico","Nao",862,25,9.9,4430,205,1395,73.5,6.18,4.3,7,15,5,0.1655,1
"TAL194","Mogiana","Mundo Novo","Convencional","Nao",900,8.8,3.3,4238,337,1145,70,6.06,2.6,5,15,4,0.143,0
"TAL195","Mogiana","Mundo Novo","Organico","Sim",896,17,3.5,3953,205,1683,77.2,5.85,3.33,10,20,19,0.2362,1
"TAL196","Matas de Minas","Catuai","Integrado","Sim",772,6.6,12.2,3642,305,1977,77.9,4.96,2.89,4,15,3,0.0788,0
"TAL197","Matas de Minas","Bourbon","Organico","Sim",743,26.1,5,4235,188,1217,56.9,5.29,4.38,4,15,3,0.0872,0
"TAL198","Mogiana","Bourbon","Integrado","Nao",952,4.9,16.7,2739,425,1576,76.9,5.15,3.76,12,30,23,0.0958,1
"TAL199","Cerrado Mineiro","Mundo Novo","Organico","Sim",858,25.3,5.6,3893,157,1283,78.1,5.33,4,8,20,17,0.1197,1
"TAL200","Cerrado Mineiro","Icatu","Organico","Sim",892,13.7,3,2184,111,1750,75.8,5.42,3.55,8,15,10,0.0525,1
"TAL201","Matas de Minas","Bourbon","Convencional","Sim",697,28.7,6.5,2464,374,1334,75.1,5.6,3.26,8,30,17,0.1994,1
"TAL202","Mogiana","Bourbon","Convencional","Sim",946,22.3,12.3,4376,199,1751,77.2,5.47,3.5,11,20,32,0.2781,0
"TAL203","Matas de Minas","Icatu","Convencional","Sim",1050,21.4,9.4,4072,263,841,70.5,5.47,2.59,11,15,12,0.0098,1
"TAL204","Sul de Minas","Catuai","Integrado","Sim",1114,19.9,17.4,2834,379,1067,63.7,5.69,1.71,8,15,4,0.1314,1
"TAL205","Matas de Minas","Bourbon","Convencional","Nao",718,11.9,13.7,3350,381,1477,60.4,5.7,1.48,7,30,11,0.1192,1
"TAL206","Cerrado Mineiro","Mundo Novo","Convencional","Nao",1060,27.8,1.2,3004,354,1505,73,5.56,3.78,11,30,14,0.1466,1
"TAL207","Sul de Minas","Mundo Novo","Convencional","Sim",1110,20.8,9.2,4099,355,1458,79.3,5.63,3.78,10,15,17,0.3272,0
"TAL208","Cerrado Mineiro","Icatu","Convencional","Nao",1279,17.2,19.2,3971,230,909,71.6,6.38,2.54,6,30,11,0.0291,0
"TAL209","Cerrado Mineiro","Mundo Novo","Organico","Sim",1052,14.8,4.3,4123,84,1308,76.1,6.45,2.63,8,20,12,0.1237,1
"TAL210","Cerrado Mineiro","Bourbon","Integrado","Nao",922,1,19.1,3087,379,1287,72.9,4.74,3.18,11,15,3,0.1475,0
"TAL211","Mogiana","Bourbon","Integrado","Nao",682,22.1,3.5,4755,227,1618,79.7,6.15,2.7,12,15,16,0.258,0
"TAL212","Matas de Minas","Catuai","Integrado","Nao",806,25.1,8.6,3226,413,1672,71.5,4.87,1.1,12,20,10,0.0204,0
"TAL213","Mogiana","Bourbon","Organico","Sim",986,15.7,8.8,3712,203,1347,75.8,5.5,3.36,6,20,24,0.2673,0
"TAL214","Sul de Minas","Bourbon","Integrado","Nao",944,13.9,21.6,5067,267,1893,83.5,5.02,2.96,10,30,38,0.157,1
"TAL215","Matas de Minas","Mundo Novo","Convencional","Sim",770,30.4,5.4,3601,272,1400,66.6,5.17,2.77,8,15,4,0.0489,0
"TAL216","Matas de Minas","Catuai","Convencional","Sim",811,21.5,8.4,2893,372,1997,83.5,5.35,1.46,4,15,2,0.4099,0
"TAL217","Cerrado Mineiro","Mundo Novo","Integrado","Sim",1046,11.8,6.4,3476,312,1151,74,5.92,3.31,8,30,10,0.1645,1
"TAL218","Mogiana","Mundo Novo","Convencional","Nao",729,24.3,4.2,4270,383,1214,65.2,4.88,2.09,4,20,5,0.0858,1
"TAL219","Matas de Minas","Catuai","Integrado","Nao",757,15.8,7.1,4056,256,1528,73.4,5.53,1.27,5,15,1,0.0559,1
"TAL220","Sul de Minas","Catuai","Integrado","Sim",972,12.6,13.2,4050,230,1758,82.2,5.81,3.35,10,20,18,0.2152,0
"TAL221","Cerrado Mineiro","Catuai","Integrado","Nao",1267,24.3,8.1,4002,312,1526,80.5,4.77,1.42,9,15,3,0.0753,1
"TAL222","Mogiana","Catuai","Convencional","Nao",646,17.8,2.6,4236,406,930,49.4,5,2.75,12,30,2,0.2109,0
"TAL223","Cerrado Mineiro","Catuai","Convencional","Sim",1109,14.5,5.8,2733,394,1640,77.6,5.64,1.69,8,15,10,0.1602,1
"TAL224","Mogiana","Catuai","Integrado","Sim",1000,11.5,17.5,4664,457,1530,82.7,5.75,1.87,9,20,16,0.3131,0
"TAL225","Matas de Minas","Mundo Novo","Convencional","Nao",892,34.3,8.4,4227,213,1678,74.6,5.13,1.38,5,20,2,0.1237,0
"TAL226","Sul de Minas","Mundo Novo","Convencional","Nao",1031,15.5,8.7,4012,272,1035,72.9,5.1,2.94,6,15,2,0.1013,0
"TAL227","Mogiana","Catuai","Integrado","Nao",904,26.5,10.3,2287,352,1780,67,5.73,2.74,11,30,3,0.0629,0
"TAL228","Sul de Minas","Bourbon","Convencional","Nao",1124,14.3,10.1,4363,396,1714,78.7,5.45,1.85,6,30,11,0.2312,0
"TAL229","Sul de Minas","Mundo Novo","Convencional","Nao",977,18.6,3.6,3423,317,1210,70.4,5.04,3.88,12,15,7,0.1536,0
"TAL230","Sul de Minas","Bourbon","Integrado","Nao",1119,1.9,4,4224,388,1456,71.9,5.53,3.54,9,20,2,0.0758,1
"TAL231","Sul de Minas","Mundo Novo","Convencional","Nao",1108,16.8,5.8,3983,330,1673,68.6,4.41,1.61,8,15,4,0.07,0
"TAL232","Mogiana","Icatu","Convencional","Sim",893,29.8,7.7,4046,317,1610,71.1,4.83,2.86,6,15,6,0.1051,0
"TAL233","Sul de Minas","Catuai","Convencional","Nao",1046,15.9,27.4,2459,439,1500,66.3,5.03,3.77,5,20,3,0.0372,0
"TAL234","Sul de Minas","Icatu","Convencional","Sim",1018,26.5,10.9,1988,236,1590,71.5,5.02,3.34,5,15,1,0.001,0
"TAL235","Sul de Minas","Bourbon","Convencional","Nao",820,18.9,5,3209,358,1654,82.5,5.64,1.61,11,15,5,0.1664,1
"TAL236","Cerrado Mineiro","Bourbon","Convencional","Nao",822,14.6,4.5,4279,373,1807,72.5,5.24,3.26,6,20,3,0.1353,0
"TAL237","Sul de Minas","Icatu","Convencional","Sim",1097,1.7,15.7,3552,260,1372,61.1,5.34,3.13,5,20,9,0.001,0
"TAL238","Mogiana","Icatu","Integrado","Nao",762,2.1,6.2,3931,365,1463,70.8,5.12,2.31,11,15,12,0.0198,0
"TAL239","Mogiana","Icatu","Convencional","Sim",860,3,10.7,4583,362,1196,65.9,4.97,2.08,12,30,20,0.0666,1
"TAL240","Mogiana","Mundo Novo","Integrado","Nao",925,22.3,10.8,4350,345,1637,82.6,5.46,3.8,7,15,5,0.1766,1
"TAL241","Mogiana","Mundo Novo","Convencional","Nao",768,20.5,5.1,3076,313,1461,85.1,5.45,2.6,7,20,15,0.5203,0
"TAL242","Mogiana","Mundo Novo","Organico","Nao",838,13.1,6.5,2476,181,833,73.2,5.89,2.53,7,30,4,0.1206,0
"TAL243","Cerrado Mineiro","Catuai","Integrado","Nao",859,16.9,3.3,3069,185,1466,76.5,5.4,2.95,10,15,7,0.0948,1
"TAL244","Mogiana","Bourbon","Convencional","Nao",955,28,6.1,3426,226,1490,78.6,4.83,2.03,9,20,10,0.238,1
"TAL245","Cerrado Mineiro","Catuai","Convencional","Sim",950,21.7,3,3698,416,1234,67.6,5.43,4.22,12,15,3,0.059,1
"TAL246","Cerrado Mineiro","Bourbon","Convencional","Nao",951,24.3,5.5,4383,517,1271,72.3,5.11,2.73,12,15,11,0.1568,0
"TAL247","Cerrado Mineiro","Mundo Novo","Organico","Nao",1123,18.6,1.9,2229,221,1357,83.7,5.24,3.74,11,15,5,0.1322,0
"TAL248","Matas de Minas","Mundo Novo","Integrado","Nao",797,25.2,11.5,2971,400,1135,66,5.71,2.46,11,20,7,0.1278,1
"TAL249","Matas de Minas","Catuai","Convencional","Nao",685,19.8,8.2,4386,334,1674,87.4,5.65,3.06,6,30,13,0.2702,0
"TAL250","Matas de Minas","Catuai","Convencional","Nao",750,23.5,12.1,3799,419,1408,68.7,5.58,3.22,10,30,10,0.1256,1
"TAL251","Mogiana","Mundo Novo","Integrado","Sim",883,5.1,8.6,3249,448,1423,69.1,5.09,2.03,10,15,5,0.1772,1
"TAL252","Sul de Minas","Bourbon","Organico","Sim",998,24.6,4.5,3960,250,1485,85.1,5.93,3.5,4,15,12,0.3674,1
"TAL253","Mogiana","Mundo Novo","Convencional","Nao",1155,26,3.6,4214,331,1288,77.8,5.23,1.88,4,20,4,0.159,1
"TAL254","Sul de Minas","Mundo Novo","Convencional","Nao",1003,34.4,14.5,3336,385,1448,77.9,4.88,2.78,6,30,6,0.2349,0
"TAL255","Sul de Minas","Catuai","Convencional","Sim",957,8.8,8.9,3504,217,969,71.4,6.14,2.39,11,30,27,0.2193,0
"TAL256","Matas de Minas","Icatu","Integrado","Nao",721,11.2,12.5,3454,233,1306,64.9,5.47,3.84,10,30,7,0.0172,0
"TAL257","Cerrado Mineiro","Catuai","Convencional","Nao",949,16,8.2,3142,331,1458,67.6,5.62,2.9,8,15,3,0.0942,0
"TAL258","Matas de Minas","Catuai","Convencional","Nao",788,25,4.6,4139,310,1155,63,4.82,1.31,6,30,14,0.0258,0
"TAL259","Mogiana","Catuai","Integrado","Nao",857,22.1,5.5,4210,336,1464,85.2,5.67,4.05,8,20,17,0.1412,1
"TAL260","Matas de Minas","Bourbon","Integrado","Nao",770,23.8,5.7,3483,292,1152,72.2,5.19,3.44,10,15,10,0.082,1
"TAL261","Sul de Minas","Mundo Novo","Integrado","Nao",953,25.2,2.5,3541,340,1255,81.7,5.34,2.48,12,30,12,0.1058,0
"TAL262","Cerrado Mineiro","Mundo Novo","Integrado","Nao",853,1.1,7.5,4237,308,1895,82.5,5.72,2.72,12,30,14,0.4176,0
"TAL263","Sul de Minas","Mundo Novo","Integrado","Nao",936,15.6,7.1,3874,333,1286,70.6,5.35,1.76,8,20,4,0.0807,0
"TAL264","Cerrado Mineiro","Catuai","Integrado","Nao",970,25.2,21.3,1800,274,1612,70.4,5.84,3.42,7,30,7,0.0175,1
"TAL265","Matas de Minas","Icatu","Convencional","Sim",936,15.4,7.7,4356,436,1130,68.8,5.66,3.5,10,30,15,0.1013,1
"TAL266","Cerrado Mineiro","Catuai","Organico","Sim",921,20.6,11.8,4178,211,1292,73.8,5.22,3.63,5,15,10,0.056,1
"TAL267","Mogiana","Mundo Novo","Integrado","Nao",859,8.2,4.4,5031,239,1868,86,4.74,2.01,6,30,11,0.429,1
"TAL268","Sul de Minas","Icatu","Convencional","Nao",993,16.7,9.4,1934,373,1934,84.9,5.89,1.75,6,20,9,0.0561,1
"TAL269","Cerrado Mineiro","Catuai","Convencional","Nao",985,21.1,8.7,3113,247,1924,83.2,5.94,3.07,8,30,3,0.1668,0
"TAL270","Matas de Minas","Mundo Novo","Convencional","Nao",894,36.8,13.1,2795,374,1055,75.4,5.07,2.13,5,20,3,0.0765,1
"TAL271","Sul de Minas","Bourbon","Integrado","Nao",1028,15.2,11.5,4206,309,1517,70.5,6.52,1.83,10,15,7,0.1356,1
"TAL272","Matas de Minas","Icatu","Organico","Sim",680,21.5,8.9,4419,93,1243,69.5,5.3,4.34,8,15,28,0.0282,0
"TAL273","Mogiana","Mundo Novo","Convencional","Sim",691,26.6,1.9,3226,269,1357,76.4,5.56,2.3,11,15,9,0.437,0
"TAL274","Mogiana","Icatu","Integrado","Nao",1094,19,8.4,4045,287,1476,68.7,5.53,1.93,11,15,6,0.1035,1
"TAL275","Mogiana","Catuai","Convencional","Nao",681,12.4,9,4538,375,1486,72.6,5.13,2.05,9,30,33,0.1374,0
"TAL276","Mogiana","Icatu","Convencional","Sim",820,25.9,5.8,2670,361,1556,67.7,5.69,1.96,6,15,4,0.0215,0
"TAL277","Sul de Minas","Mundo Novo","Convencional","Nao",1138,29.2,2.9,3253,271,1105,69,4.73,1.69,7,30,6,0.1311,1
"TAL278","Cerrado Mineiro","Mundo Novo","Integrado","Nao",937,27.4,6.4,3393,384,1192,74.6,5.43,3.59,12,15,4,0.0388,0
"TAL279","Matas de Minas","Mundo Novo","Organico","Sim",851,20.1,7.5,2770,160,1634,74.3,5.43,3.17,6,15,3,0.1505,1
"TAL280","Mogiana","Mundo Novo","Convencional","Sim",801,16,7.7,4618,338,1319,77.8,5.13,1.94,8,30,15,0.3295,0
"TAL281","Sul de Minas","Mundo Novo","Convencional","Sim",1166,10.3,10.7,3383,431,979,73.1,5.15,2.74,8,15,4,0.0973,1
"TAL282","Matas de Minas","Mundo Novo","Organico","Sim",968,37.9,5.3,1800,217,1647,75.9,5.01,3.2,5,15,4,0.1225,1
"TAL283","Cerrado Mineiro","Catuai","Convencional","Sim",1003,19.9,8.4,4382,297,1051,77.7,5.44,3.01,5,15,5,0.2221,0
"TAL284","Mogiana","Mundo Novo","Convencional","Nao",1019,13.6,5.2,4775,262,1789,89.5,5.26,2.98,6,20,13,0.4078,0
"TAL285","Cerrado Mineiro","Catuai","Integrado","Nao",1098,32.4,28.5,2488,347,1583,82.8,5.6,2.65,8,30,19,0.0708,1
"TAL286","Mogiana","Bourbon","Convencional","Nao",793,27.9,12.4,2486,346,1458,78.4,5.81,2,7,15,3,0.0917,1
"TAL287","Mogiana","Mundo Novo","Convencional","Sim",923,51.4,6.3,2780,342,1317,72.9,5.95,2.53,9,15,19,0.2079,0
"TAL288","Sul de Minas","Catuai","Integrado","Sim",971,19.9,4.7,4298,252,1250,63.2,5.5,2.54,5,30,3,0.0892,1
"TAL289","Cerrado Mineiro","Icatu","Organico","Nao",820,20.2,11,3598,184,1448,68.7,5.14,3.1,5,15,3,0.0247,1
"TAL290","Cerrado Mineiro","Icatu","Integrado","Sim",1108,16,10.3,3357,433,1346,75.5,4.93,2.78,6,30,12,0.0795,1
"TAL291","Sul de Minas","Bourbon","Organico","Nao",1060,32.2,11.3,2715,137,1767,82.7,5.59,4.22,4,20,1,0.1017,1
"TAL292","Matas de Minas","Bourbon","Integrado","Nao",684,29.5,6.3,3600,356,1657,64.4,6.29,2.4,5,30,7,0.2732,1
"TAL293","Mogiana","Icatu","Convencional","Nao",812,21.2,14.6,3174,419,1625,73,4.76,2.37,7,15,3,0.0542,0
"TAL294","Mogiana","Bourbon","Integrado","Sim",1046,21.8,9.5,4713,408,1110,69.5,5.31,3.61,9,30,16,0.2352,1
"TAL295","Matas de Minas","Mundo Novo","Convencional","Nao",597,31.8,8.3,3540,356,1636,80.2,5.46,2.68,7,30,32,0.2286,0
"TAL296","Cerrado Mineiro","Icatu","Integrado","Sim",806,25.4,1.4,2771,409,1452,79.1,5.16,3.15,12,20,13,0.1483,0
"TAL297","Cerrado Mineiro","Bourbon","Integrado","Nao",808,23.3,3,3532,414,1556,78.4,4.88,1.33,5,30,8,0.2225,1
"TAL298","Cerrado Mineiro","Catuai","Organico","Sim",980,30.2,9.5,3749,239,1716,78,6.17,3.56,4,15,4,0.1194,1
"TAL299","Cerrado Mineiro","Catuai","Integrado","Nao",1193,16.7,12,5390,284,1180,67.2,5.15,2.02,9,15,1,0.0323,1
"TAL300","Cerrado Mineiro","Mundo Novo","Convencional","Sim",1056,30.6,11.9,3859,484,1223,68.7,5.07,2.34,8,15,6,0.1044,1
"TAL301","Matas de Minas","Mundo Novo","Organico","Nao",753,39.3,5.3,4042,207,1383,81.1,6.18,3.15,11,30,49,0.2158,1
"TAL302","Mogiana","Mundo Novo","Organico","Sim",745,12.6,2.6,4126,98,1312,80.3,5.47,2.88,4,30,13,0.2238,1
"TAL303","Sul de Minas","Icatu","Integrado","Sim",1163,24.2,13.4,3319,341,1352,79.2,5.09,2.27,9,15,10,0.0159,1
"TAL304","Matas de Minas","Mundo Novo","Integrado","Sim",765,30.5,6.8,3049,389,1407,68.2,5.9,1.86,4,30,4,0.0937,0
"TAL305","Sul de Minas","Icatu","Organico","Nao",1015,8.3,7.6,3790,112,1616,77.7,5.96,2.54,4,30,5,0.0344,1
"TAL306","Mogiana","Catuai","Convencional","Sim",857,30.1,10.7,3618,374,1017,75.6,5.85,2.07,4,20,3,0.3047,1
"TAL307","Cerrado Mineiro","Mundo Novo","Organico","Nao",994,16.8,6.9,2444,253,1493,91,5.9,3.82,9,30,32,0.0783,0
"TAL308","Sul de Minas","Bourbon","Convencional","Nao",1074,20.1,9.9,2778,489,1452,72.7,5.69,3.1,8,30,6,0.1808,1
"TAL309","Cerrado Mineiro","Mundo Novo","Integrado","Sim",1121,19.3,7.1,3624,344,1271,68,5.49,2.18,5,30,2,0.2794,0
"TAL310","Cerrado Mineiro","Mundo Novo","Organico","Nao",830,19.2,18,4851,231,1429,72.7,5.89,3.36,9,30,24,0.1746,1
"TAL311","Sul de Minas","Mundo Novo","Convencional","Nao",1048,19.6,8.7,3563,359,1666,76.6,6.16,3.31,6,15,4,0.1314,1
"TAL312","Sul de Minas","Catuai","Convencional","Nao",1019,16.1,19.9,4487,381,1688,72.7,4.62,2.86,5,15,2,0.0554,0
"TAL313","Sul de Minas","Mundo Novo","Organico","Sim",980,3.1,8.1,3660,264,1209,68.2,5.83,3.97,11,15,22,0.0297,0
"TAL314","Cerrado Mineiro","Mundo Novo","Organico","Sim",873,8.3,7.4,3703,246,1403,85.4,5.42,3.12,8,20,6,0.2105,1
"TAL315","Sul de Minas","Icatu","Convencional","Nao",964,3.6,6,4123,358,1483,68.1,5.65,1.66,6,15,4,0.0503,0
"TAL316","Matas de Minas","Catuai","Organico","Sim",813,30.5,5,3156,204,1747,74.5,5.18,3.91,8,20,14,0.2515,1
"TAL317","Mogiana","Mundo Novo","Organico","Nao",1020,17.3,4.7,4573,312,2158,84,5.2,3.37,4,15,6,0.134,1
"TAL318","Cerrado Mineiro","Mundo Novo","Convencional","Nao",795,22.6,2.1,2283,148,1179,60.9,5.57,1.94,8,30,1,0.0141,1
"TAL319","Mogiana","Icatu","Organico","Sim",698,2.2,6.4,3471,229,1551,79.2,6.15,3.19,4,20,5,0.0449,1
"TAL320","Cerrado Mineiro","Catuai","Convencional","Sim",911,19.9,10.6,4190,408,1376,65.9,4.71,2.48,8,30,5,0.1791,0
"TAL321","Sul de Minas","Bourbon","Integrado","Sim",1061,21.7,13.7,4884,310,1568,87.9,5.51,2.49,12,20,62,0.6098,0
"TAL322","Sul de Minas","Mundo Novo","Integrado","Nao",1009,15.6,2.5,4142,408,1240,72.9,5.36,1.8,11,15,4,0.1902,0
"TAL323","Sul de Minas","Catuai","Integrado","Nao",818,25.6,5,4472,446,1132,61.8,4.62,2.44,11,15,5,0.0549,0
"TAL324","Matas de Minas","Icatu","Convencional","Nao",1021,28.1,6.3,2999,272,1647,87.1,5.25,2.69,12,30,9,0.05,0
"TAL325","Matas de Minas","Icatu","Convencional","Nao",611,36.6,16.4,3316,269,1462,75.3,6.36,2.09,9,20,7,0.0811,0
"TAL326","Cerrado Mineiro","Icatu","Integrado","Sim",1044,25.8,14.9,3338,343,1256,70.8,4.87,2.85,7,20,5,0.1003,0
"TAL327","Mogiana","Mundo Novo","Integrado","Nao",934,19.9,12.6,4043,384,1436,77.3,5.71,1.62,11,15,6,0.206,0
"TAL328","Sul de Minas","Catuai","Convencional","Nao",871,17.8,11.6,4374,351,1635,71.6,5.41,2.27,5,30,13,0.0383,0
"TAL329","Mogiana","Icatu","Convencional","Nao",881,22.3,10.4,3535,407,1608,72.2,5.58,2.01,11,30,20,0.0035,0
"TAL330","Matas de Minas","Catuai","Convencional","Sim",830,34.1,8.9,3021,402,1579,72,4.68,2.15,9,20,3,0.2138,0
"TAL331","Sul de Minas","Bourbon","Convencional","Nao",865,13.7,9.1,3116,257,971,63.4,4.97,1.73,8,30,6,0.0874,0
"TAL332","Matas de Minas","Catuai","Convencional","Sim",748,21.9,8.2,3273,398,1374,80,5.26,1.87,9,15,9,0.2046,0
"TAL333","Sul de Minas","Mundo Novo","Integrado","Sim",869,22.2,11.2,5222,299,1611,74,4.78,1.91,6,30,2,0.1357,0
"TAL334","Sul de Minas","Catuai","Integrado","Nao",997,31.7,13.1,3246,288,1516,69.6,5.58,3.34,8,20,3,0.1139,1
"TAL335","Cerrado Mineiro","Icatu","Convencional","Nao",1016,11.7,3.6,4354,386,1754,80.6,5.36,2.33,8,20,13,0.0939,0
"TAL336","Mogiana","Bourbon","Convencional","Nao",870,25,25.6,3131,371,870,66.8,5.74,2.3,5,20,2,0.085,0
"TAL337","Sul de Minas","Mundo Novo","Integrado","Nao",1297,14.5,11.2,5735,364,1697,79,4.51,2.93,8,20,5,0.2109,1
"TAL338","Cerrado Mineiro","Icatu","Integrado","Sim",1013,9.2,8.3,3616,367,1440,77.9,4.73,3.6,11,20,12,0.0117,0
"TAL339","Mogiana","Mundo Novo","Convencional","Nao",870,4.6,10.2,3441,349,1388,69.4,5.67,2.03,4,15,5,0.0468,0
"TAL340","Cerrado Mineiro","Bourbon","Convencional","Sim",863,28.2,20.3,3267,381,1543,76.5,5.68,2.63,5,20,6,0.2666,1
